name,address,phone,website,rating,review_count,photo_count,types,opening_hours,hours_open_now,url,place_id,latitude,longitude,maps_url
Kitchen Central,"3010 W Anderson Ln. C, Austin, TX 78757, USA",+1 512-277-2121,https://www.kitchencentral.com/,4.7,85,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1800""}, ""open"": {""day"": 1, ""time"": ""0900""}}, {""close"": {""day"": 2, ""time"": ""1800""}, ""open"": {""day"": 2, ""time"": ""0900""}}, {""close"": {""day"": 3, ""time"": ""1800""}, ""open"": {""day"": 3, ""time"": ""0900""}}, {""close"": {""day"": 4, ""time"": ""1800""}, ""open"": {""day"": 4, ""time"": ""0900""}}, {""close"": {""day"": 5, ""time"": ""1800""}, ""open"": {""day"": 5, ""time"": ""0900""}}, {""close"": {""day"": 6, ""time"": ""1800""}, ""open"": {""day"": 6, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Tuesday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Wednesday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Thursday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Saturday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=5901835509016117555,ChIJ9V8MJafLRIYRM0GxTSCI51E,30.3613243,-97.7394681,https://maps.google.com/?cid=5901835509016117555
New Creations Custom Kitchen and Bath,"11716 Big Trail, Austin, TX 78759, USA",+1 512-963-9043,http://www.newcreationsaustin.com/,5,84,10,"establishment, general_contractor, point_of_interest","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""1700""}, ""open"": {""day"": 5, ""time"": ""0800""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=15274183035349943382,ChIJaw6UPl7MRIYRVsRUaIvM-NM,30.4148335,-97.73782829999999,https://maps.google.com/?cid=15274183035349943382
Together Design & Build,"6000 S Congress Ave #101, Austin, TX 78745, USA",+1 833-573-3627,https://togetherdesignbuild.com/,5,277,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1730""}, ""open"": {""day"": 1, ""time"": ""0830""}}, {""close"": {""day"": 2, ""time"": ""1730""}, ""open"": {""day"": 2, ""time"": ""0830""}}, {""close"": {""day"": 3, ""time"": ""1730""}, ""open"": {""day"": 3, ""time"": ""0830""}}, {""close"": {""day"": 4, ""time"": ""1730""}, ""open"": {""day"": 4, ""time"": ""0830""}}, {""close"": {""day"": 5, ""time"": ""1730""}, ""open"": {""day"": 5, ""time"": ""0830""}}], ""weekday_text"": [""Monday: 8:30\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Tuesday: 8:30\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Wednesday: 8:30\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Thursday: 8:30\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Friday: 8:30\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=15094998449404236941,ChIJr99r99G5RIYRjdTP7Rw1fNE,30.2001268,-97.77666599999999,https://maps.google.com/?cid=15094998449404236941
Teamwork Home Designs - General Contractor Austin,"8101 Cameron Rd #210, Austin, TX 78754, USA",+1 512-757-3760,https://teamworkhomedesigns.com/,5,166,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1800""}, ""open"": {""day"": 1, ""time"": ""0830""}}, {""close"": {""day"": 2, ""time"": ""1800""}, ""open"": {""day"": 2, ""time"": ""0830""}}, {""close"": {""day"": 3, ""time"": ""1800""}, ""open"": {""day"": 3, ""time"": ""0830""}}, {""close"": {""day"": 4, ""time"": ""1800""}, ""open"": {""day"": 4, ""time"": ""0830""}}, {""close"": {""day"": 5, ""time"": ""1800""}, ""open"": {""day"": 5, ""time"": ""0830""}}], ""weekday_text"": [""Monday: 8:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Tuesday: 8:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Wednesday: 8:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Thursday: 8:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Friday: 8:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=15356631611894575688,ChIJIzlZAf8WBa0RSLKCjRa3HdU,30.3366,-97.682857,https://maps.google.com/?cid=15356631611894575688
"Green Bay Remodeling, Inc.","3724 Executive Center Dr, Austin, TX 78731, USA",+1 737-383-0883,https://www.greenbayremodeling.com/austin-tx,4.9,59,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""1500""}, ""open"": {""day"": 5, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20093:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=14353525585711236785,ChIJmeydnNbLRIYRsYbM0nj3Mcc,30.3629249,-97.74965180000001,https://maps.google.com/?cid=14353525585711236785
Austin Dream Remodeling,"2713 Bristol Dr Unit 2, Austin, TX 78723, USA",+1 512-778-0791,https://austindreamremodeling.com/,4.9,72,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 0, ""time"": ""2000""}, ""open"": {""day"": 0, ""time"": ""0800""}}, {""close"": {""day"": 1, ""time"": ""2000""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""2000""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""2000""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""2000""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""2000""}, ""open"": {""day"": 5, ""time"": ""0800""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Saturday: Closed"", ""Sunday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM""]}",True,https://maps.google.com/?cid=18331746480456606845,ChIJkZXDreDNRIYRfSQiWExyZ_4,30.3109247,-97.67903299999999,https://maps.google.com/?cid=18331746480456606845
ACE Remodeling TX,"3515 Greystone Dr, Austin, TX 78731, USA",+1 512-969-9179,https://aceremodelingtx.com/,4.9,153,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 0, ""time"": ""1830""}, ""open"": {""day"": 0, ""time"": ""0830""}}, {""close"": {""day"": 1, ""time"": ""1830""}, ""open"": {""day"": 1, ""time"": ""0830""}}, {""close"": {""day"": 2, ""time"": ""1830""}, ""open"": {""day"": 2, ""time"": ""0830""}}, {""close"": {""day"": 3, ""time"": ""1830""}, ""open"": {""day"": 3, ""time"": ""0830""}}, {""close"": {""day"": 4, ""time"": ""1830""}, ""open"": {""day"": 4, ""time"": ""0830""}}, {""close"": {""day"": 5, ""time"": ""1830""}, ""open"": {""day"": 5, ""time"": ""0830""}}], ""weekday_text"": [""Monday: 8:30\u202fAM\u2009\u2013\u20096:30\u202fPM"", ""Tuesday: 8:30\u202fAM\u2009\u2013\u20096:30\u202fPM"", ""Wednesday: 8:30\u202fAM\u2009\u2013\u20096:30\u202fPM"", ""Thursday: 8:30\u202fAM\u2009\u2013\u20096:30\u202fPM"", ""Friday: 8:30\u202fAM\u2009\u2013\u20096:30\u202fPM"", ""Saturday: Closed"", ""Sunday: 8:30\u202fAM\u2009\u2013\u20096:30\u202fPM""]}",True,https://maps.google.com/?cid=14149005449429489673,ChIJzTqeFsFrgQERCZhP2n1dW8Q,30.3579868,-97.74994219999999,https://maps.google.com/?cid=14149005449429489673
UB Kitchens - Kitchen Design and Cabinets,"2438 W Anderson Ln. C2A, Austin, TX 78757, USA",+1 512-836-7283,http://www.ubkitchens.com/,5,99,10,"establishment, furniture_store, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1800""}, ""open"": {""day"": 1, ""time"": ""0900""}}, {""close"": {""day"": 2, ""time"": ""1800""}, ""open"": {""day"": 2, ""time"": ""0900""}}, {""close"": {""day"": 3, ""time"": ""1800""}, ""open"": {""day"": 3, ""time"": ""0900""}}, {""close"": {""day"": 4, ""time"": ""1800""}, ""open"": {""day"": 4, ""time"": ""0900""}}, {""close"": {""day"": 5, ""time"": ""1800""}, ""open"": {""day"": 5, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Tuesday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Wednesday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Thursday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=12085090597930436313,ChIJx8IzCY7LRIYR2YYOiN7dtqc,30.357732,-97.7321982,https://maps.google.com/?cid=12085090597930436313
LFM Construction & Remodeling,"2307 Thornton Rd Unit 103, Austin, TX 78704, USA",+1 512-549-2434,https://www.lfmremodeling.com/?utm_source=google&utm_medium=GMB&utm_campaign=GMB&utm_id=GMB,4.9,181,10,"establishment, general_contractor, home_goods_store, point_of_interest, roofing_contractor, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 0, ""time"": ""1800""}, ""open"": {""day"": 0, ""time"": ""1000""}}, {""close"": {""day"": 1, ""time"": ""2100""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""2100""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""2100""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""2100""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""2100""}, ""open"": {""day"": 5, ""time"": ""0800""}}, {""close"": {""day"": 6, ""time"": ""1800""}, ""open"": {""day"": 6, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Saturday: 9:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Sunday: 10:00\u202fAM\u2009\u2013\u20096:00\u202fPM""]}",True,https://maps.google.com/?cid=7878889160658303432,ChIJlU5jsdWXwoARyLm2jfJvV20,30.2449723,-97.77160359999999,https://maps.google.com/?cid=7878889160658303432
THA Construction & Remodeling,"2021 Guadalupe St Suite 260, Austin, TX 78705, USA",+1 512-736-8585,https://thaconstruction.com/,4.9,128,10,"establishment, general_contractor, home_goods_store, painter, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 0, ""time"": ""2000""}, ""open"": {""day"": 0, ""time"": ""0900""}}, {""close"": {""day"": 1, ""time"": ""2000""}, ""open"": {""day"": 1, ""time"": ""0900""}}, {""close"": {""day"": 2, ""time"": ""2000""}, ""open"": {""day"": 2, ""time"": ""0900""}}, {""close"": {""day"": 3, ""time"": ""2000""}, ""open"": {""day"": 3, ""time"": ""0900""}}, {""close"": {""day"": 4, ""time"": ""2000""}, ""open"": {""day"": 4, ""time"": ""0900""}}, {""close"": {""day"": 5, ""time"": ""2000""}, ""open"": {""day"": 5, ""time"": ""0900""}}, {""close"": {""day"": 6, ""time"": ""2000""}, ""open"": {""day"": 6, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 9:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Tuesday: 9:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Wednesday: 9:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Thursday: 9:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Saturday: 9:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Sunday: 9:00\u202fAM\u2009\u2013\u20098:00\u202fPM""]}",True,https://maps.google.com/?cid=8280397173276381723,ChIJZSfzx0PFRIYRG5JJkFvh6XI,30.2833571,-97.7414929,https://maps.google.com/?cid=8280397173276381723
