name,address,phone,website,rating,review_count,photo_count,types,opening_hours,hours_open_now,url,place_id,latitude,longitude,maps_url
"Superior Kitchen & Bath, Inc","1567 Cuyamaca St, El Cajon, CA 92020, USA",+1 619-272-6813,https://www.superiorkb.com/,4.6,9,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1630""}, ""open"": {""day"": 1, ""time"": ""0700""}}, {""close"": {""day"": 2, ""time"": ""1630""}, ""open"": {""day"": 2, ""time"": ""0700""}}, {""close"": {""day"": 3, ""time"": ""1630""}, ""open"": {""day"": 3, ""time"": ""0700""}}, {""close"": {""day"": 4, ""time"": ""1630""}, ""open"": {""day"": 4, ""time"": ""0700""}}, {""close"": {""day"": 5, ""time"": ""1630""}, ""open"": {""day"": 5, ""time"": ""0700""}}], ""weekday_text"": [""Monday: 7:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Tuesday: 7:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Wednesday: 7:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Thursday: 7:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Friday: 7:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=15746888721516585459,ChIJBf0s8kFf2YAR8-GZk9wviNo,32.8163744,-116.9792876,https://maps.google.com/?cid=15746888721516585459
MasterCraft Kitchen & Bath,"535 Broadway, El Cajon, CA 92021, USA",+1 858-477-3689,http://generalledgerbookkeepingsystems.store/,5,22,10,"establishment, general_contractor, point_of_interest","{""open_now"": true, ""periods"": [{""open"": {""day"": 0, ""time"": ""0000""}}], ""weekday_text"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}",True,https://maps.google.com/?cid=14141595083027322258,ChIJL362VJFZ2YARkhVBec0JQcQ,32.8071583,-116.9561229,https://maps.google.com/?cid=14141595083027322258
The Kitchen Doctor San Diego,"1985 Friendship Dr Suite G, El Cajon, CA 92020, USA",+1 619-449-9260,http://kitchendoctorsd.com/,5,13,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1600""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""1600""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""1600""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""1600""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""1600""}, ""open"": {""day"": 5, ""time"": ""0800""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=4425383417582843835,ChIJw5liHRxY2YARu_fth8Ueaj0,32.8257235,-116.9824743,https://maps.google.com/?cid=4425383417582843835
Build It Consulting & Construction,"205 Highline Trail, El Cajon, CA 92021, USA",+1 619-889-9919,http://www.builditconstructionsd.com/,5,13,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 0, ""time"": ""1700""}, ""open"": {""day"": 0, ""time"": ""0900""}}, {""close"": {""day"": 1, ""time"": ""1900""}, ""open"": {""day"": 1, ""time"": ""0600""}}, {""close"": {""day"": 2, ""time"": ""1900""}, ""open"": {""day"": 2, ""time"": ""0600""}}, {""close"": {""day"": 3, ""time"": ""1900""}, ""open"": {""day"": 3, ""time"": ""0600""}}, {""close"": {""day"": 4, ""time"": ""1900""}, ""open"": {""day"": 4, ""time"": ""0600""}}, {""close"": {""day"": 5, ""time"": ""1900""}, ""open"": {""day"": 5, ""time"": ""0600""}}, {""close"": {""day"": 6, ""time"": ""1900""}, ""open"": {""day"": 6, ""time"": ""0600""}}], ""weekday_text"": [""Monday: 6:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Tuesday: 6:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Wednesday: 6:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Thursday: 6:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Friday: 6:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Saturday: 6:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Sunday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM""]}",True,https://maps.google.com/?cid=4817682741056645878,ChIJfZrbsr9f2YAR9io2he3Y20I,32.8087292,-116.8602742,https://maps.google.com/?cid=4817682741056645878
Stellar kitchen Bath Renovation El Cajon,"500 Fesler St, El Cajon, CA 92020, USA",+1 619-353-0126,,4.6,7,3,"establishment, general_contractor, point_of_interest","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""2000""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""2000""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""2000""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""2000""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""2000""}, ""open"": {""day"": 5, ""time"": ""0800""}}, {""close"": {""day"": 6, ""time"": ""2000""}, ""open"": {""day"": 6, ""time"": ""0800""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=13833802817586430283,ChIJW86seThY2YARS4EJM16K-78,32.8091429,-116.9688395,https://maps.google.com/?cid=13833802817586430283
Hearthstone Remodels,"13645 Cuesta Del Sol, Lakeside, CA 92040, USA",+1 858-261-5675,http://kitchenlogic.store/,4.9,23,10,"establishment, general_contractor, point_of_interest","{""open_now"": true, ""periods"": [{""open"": {""day"": 0, ""time"": ""0000""}}], ""weekday_text"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}",True,https://maps.google.com/?cid=17344838462545245503,ChIJRSttvZFZ2YARP7WKTq8-tfA,32.8476215,-116.8943764,https://maps.google.com/?cid=17344838462545245503
Kitchens Plus,"7943 University Ave, La Mesa, CA 91942, USA",+1 619-466-5100,http://www.kitchensplussd.com/,4.9,51,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""1000""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""1000""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""1000""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""1000""}}, {""close"": {""day"": 5, ""time"": ""1700""}, ""open"": {""day"": 5, ""time"": ""1000""}}, {""close"": {""day"": 6, ""time"": ""1400""}, ""open"": {""day"": 6, ""time"": ""1000""}}], ""weekday_text"": [""Monday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: 10:00\u202fAM\u2009\u2013\u20092:00\u202fPM"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=8129522167980921751,ChIJF0V0giFX2YARl5Mq-Fbd0XA,32.7640873,-117.027102,https://maps.google.com/?cid=8129522167980921751
"So Cal Design Build, Inc (CustomADU.com)","13435 Los Coches Rd E, El Cajon, CA 92021, USA",+1 619-448-0051,http://www.socalbuilds.com/,5,18,1,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1630""}, ""open"": {""day"": 1, ""time"": ""0830""}}, {""close"": {""day"": 2, ""time"": ""1630""}, ""open"": {""day"": 2, ""time"": ""0830""}}, {""close"": {""day"": 3, ""time"": ""1630""}, ""open"": {""day"": 3, ""time"": ""0830""}}, {""close"": {""day"": 4, ""time"": ""1630""}, ""open"": {""day"": 4, ""time"": ""0830""}}, {""close"": {""day"": 5, ""time"": ""1630""}, ""open"": {""day"": 5, ""time"": ""0830""}}], ""weekday_text"": [""Monday: 8:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Tuesday: 8:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Wednesday: 8:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Thursday: 8:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Friday: 8:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=6580006216765599612,ChIJmbnysQRY2YARfO8sssrgUFs,32.8311516,-116.9008111,https://maps.google.com/?cid=6580006216765599612
Essence Home Remodeling,"725 Garfield Ave, El Cajon, CA 92020, USA",+1 858-326-9863,http://adgeneralbuildersinc.store/,5,23,10,"establishment, general_contractor, point_of_interest","{""open_now"": true, ""periods"": [{""open"": {""day"": 0, ""time"": ""0000""}}], ""weekday_text"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}",True,https://maps.google.com/?cid=12249069776859507739,ChIJbR77kc1X2YARGyyvThBw_ak,32.8043938,-116.9978774,https://maps.google.com/?cid=12249069776859507739
LZ Construction Design/Build Remodeling,"10051 Quail Canyon Rd, El Cajon, CA 92021, USA",+1 619-443-4044,https://lzconstruction.com/,4.5,12,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1600""}, ""open"": {""day"": 1, ""time"": ""0700""}}, {""close"": {""day"": 2, ""time"": ""1600""}, ""open"": {""day"": 2, ""time"": ""0700""}}, {""close"": {""day"": 3, ""time"": ""1600""}, ""open"": {""day"": 3, ""time"": ""0700""}}, {""close"": {""day"": 4, ""time"": ""1600""}, ""open"": {""day"": 4, ""time"": ""0700""}}, {""close"": {""day"": 5, ""time"": ""1600""}, ""open"": {""day"": 5, ""time"": ""0700""}}], ""weekday_text"": [""Monday: 7:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Tuesday: 7:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Wednesday: 7:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Thursday: 7:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Friday: 7:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=9781681920471528044,ChIJi6fUtl9f2YARbPKQj-GDv4c,32.8641662,-116.8693623,https://maps.google.com/?cid=9781681920471528044
