name,address,phone,website,rating,review_count,photo_count,types,opening_hours,hours_open_now,url,place_id,latitude,longitude,maps_url
3 Day Kitchen & Bath,"10620 Treena St Suite 230, San Diego, CA 92131, USA",+1 619-558-6950,https://3day-kitchenbath.com/,5,82,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""0900""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""0900""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""0900""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""0900""}}, {""close"": {""day"": 5, ""time"": ""1500""}, ""open"": {""day"": 5, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20093:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=8055289362473145606,ChIJP6aTZSpGeQ4RBtUxFf8iym8,32.9104461,-117.1153488,https://maps.google.com/?cid=8055289362473145606
Lars Remodeling & Design,"5925 Kearny Villa Rd Suite 200, San Diego, CA 92123, USA",+1 858-279-6300,https://larsremodel.com/,4.7,127,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""0830""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""0830""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""0830""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""0830""}}, {""close"": {""day"": 5, ""time"": ""1700""}, ""open"": {""day"": 5, ""time"": ""0830""}}], ""weekday_text"": [""Monday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=6189876556812292524,ChIJk1SBqa3_24ARrJFQ3O7b5lU,32.8392624,-117.1295801,https://maps.google.com/?cid=6189876556812292524
Kitchens Plus,"7943 University Ave, La Mesa, CA 91942, USA",+1 619-466-5100,http://www.kitchensplussd.com/,4.9,51,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""1000""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""1000""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""1000""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""1000""}}, {""close"": {""day"": 5, ""time"": ""1700""}, ""open"": {""day"": 5, ""time"": ""1000""}}, {""close"": {""day"": 6, ""time"": ""1400""}, ""open"": {""day"": 6, ""time"": ""1000""}}], ""weekday_text"": [""Monday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: 10:00\u202fAM\u2009\u2013\u20092:00\u202fPM"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=8129522167980921751,ChIJF0V0giFX2YARl5Mq-Fbd0XA,32.7640873,-117.027102,https://maps.google.com/?cid=8129522167980921751
King Remodeling - Kitchen & Bathroom Experts San Diego,"10035 Carroll Canyon Rd Ste D, San Diego, CA 92131, USA",+1 858-299-7700,http://www.kingremodelingsd.com/,4.8,102,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""0900""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""0900""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""0900""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""0900""}}, {""close"": {""day"": 5, ""time"": ""1700""}, ""open"": {""day"": 5, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=3266884166802556565,ChIJq6p6J7b424ARlUadTNdNVi0,32.9024702,-117.1106744,https://maps.google.com/?cid=3266884166802556565
Optimal Home Remodeling & Design,"8400 Miramar Rd #216A, San Diego, CA 92126, USA",+1 619-560-6668,https://optimalremodel.com/,4.9,77,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1800""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""1800""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""1800""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""1800""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""1800""}, ""open"": {""day"": 5, ""time"": ""0800""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=14077306682985883260,ChIJSYsqRzv524ARfCab6dejXMM,32.891709,-117.141687,https://maps.google.com/?cid=14077306682985883260
Elite Remodeling & Design,"4883 ronson ct #p, 4883 Ronson Ct suite p, San Diego, CA 92111, USA",+1 833-335-4833,http://eliteremodelingsd.com/,5,24,10,"electrician, establishment, general_contractor, home_goods_store, plumber, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""0900""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""0900""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""0900""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""0900""}}, {""close"": {""day"": 5, ""time"": ""1700""}, ""open"": {""day"": 5, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=2577349106697473468,ChIJxy6M1bb_24ARvI3fbluVxCM,32.8313702,-117.144812,https://maps.google.com/?cid=2577349106697473468
Affordable Design and Remodel,"4241 Jutland Dr STE 205, San Diego, CA 92117, USA",+1 858-707-7711,https://affordabledesignandremodel.com/,4.9,52,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""0900""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""0900""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""0900""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""0900""}}, {""close"": {""day"": 5, ""time"": ""1700""}, ""open"": {""day"": 5, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=14230201644816127696,ChIJVVVl8TP624AR0NZxSQDVe8U,32.8242815,-117.227197,https://maps.google.com/?cid=14230201644816127696
Coast Design & Build - Kitchen & Bath Remodel San diego,"6602 El Cajon Blvd Suite D, San Diego, CA 92115, USA",+1 858-433-0490,https://coastdesignbuild.com/,5,36,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1800""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""1800""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""1800""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""1800""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""1800""}, ""open"": {""day"": 5, ""time"": ""0800""}}, {""close"": {""day"": 6, ""time"": ""1400""}, ""open"": {""day"": 6, ""time"": ""0800""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20092:00\u202fPM"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=7097682078777685966,ChIJ9fx4GQVX2YARzjcz2j4IgGI,32.7676167,-117.0563648,https://maps.google.com/?cid=7097682078777685966
Remodel Works Bath & Kitchen Design of San Diego,"12147 Kirkham Rd ste b, Poway, CA 92064, USA",+1 858-533-8041,https://remodelworks.com/,4.6,130,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 1, ""time"": ""1730""}, ""open"": {""day"": 1, ""time"": ""0900""}}, {""close"": {""day"": 2, ""time"": ""1730""}, ""open"": {""day"": 2, ""time"": ""0900""}}, {""close"": {""day"": 3, ""time"": ""1730""}, ""open"": {""day"": 3, ""time"": ""0900""}}, {""close"": {""day"": 4, ""time"": ""1730""}, ""open"": {""day"": 4, ""time"": ""0900""}}, {""close"": {""day"": 5, ""time"": ""1730""}, ""open"": {""day"": 5, ""time"": ""0900""}}, {""close"": {""day"": 6, ""time"": ""1300""}, ""open"": {""day"": 6, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 9:00\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Tuesday: 9:00\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Wednesday: 9:00\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Thursday: 9:00\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20095:30\u202fPM"", ""Saturday: 9:00\u202fAM\u2009\u2013\u20091:00\u202fPM"", ""Sunday: Closed""]}",True,https://maps.google.com/?cid=191057838757231599,ChIJjx7u0bv724AR77utkhfGpgI,32.9364563,-117.0490408,https://maps.google.com/?cid=191057838757231599
SAN DIEGO BATH & KITCHEN REMODEL,"9920 Pacific Heights Blvd Suite 150, San Diego, CA 92121, USA",+1 858-284-7555,https://remodelersd.com/,5,13,10,"establishment, general_contractor, home_goods_store, point_of_interest, store","{""open_now"": true, ""periods"": [{""close"": {""day"": 0, ""time"": ""1900""}, ""open"": {""day"": 0, ""time"": ""0800""}}, {""close"": {""day"": 1, ""time"": ""1900""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""1900""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""1900""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""1900""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""1600""}, ""open"": {""day"": 5, ""time"": ""0800""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Saturday: Closed"", ""Sunday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM""]}",True,https://maps.google.com/?cid=2242686929366538720,ChIJu-_6WjgH3IAR4NlNR-GfHx8,32.9000079,-117.1903523,https://maps.google.com/?cid=2242686929366538720
